player_id,fbref_id
255,2e4f5f03
249,4c370d81
243,eb58eef0
251,c691bfe2
254,e342ad68
259,cd1acf9d
244,935e6b8f
246,b217ef29
263,4fb9c88f
260,7a11550b
261,f25c8e3a
468,178ae8f8
250,e06683ca
241,2f90f6b8
589,515ebe8d
258,f833a830
247,6421ec64
264,dd323728
248,38c7feef
594,012c975a
560,62d7ef38
256,43a166b4
12,7956236f
514,aed3a70f
37,b0b4fd3e
42,e514ab62
38,90f91999
41,8397a50c
540,c47541e0
106,3a24769f
45,ffa90327
39,bf8fad51
33,fcab00a0
44,de5b5570
554,1544f145
29,615ef733
50,9deaf2c8
31,c2f9d19f
200,67ca8566
197,420d7c7d
202,93feac6e
198,282679b4
213,6b625ac2
203,aa849a12
204,4f565d77
201,1a7fcf39
195,dc64b8b3
491,ea6bc03a
570,3423f250
211,f4d296e4
206,6c17e046
210,8d03ca5a
549,bba30585
214,8574c61f
128,ab13a5aa
133,8d3c902d
141,b2bc3b1f
130,cee31595
137,b28bbd58
489,ae4fc6a4
142,3312f911
138,2ce2508a
146,5cbd1eb0
134,8a7ff278
140,da052c14
139,5f09991f
577,0442183b
486,52105203
132,ab070c55
144,7a1f2c08
125,7914b9fe
131,64b08de7
108,2973d8ff
129,e7ca0439
127,87935cf3
120,9674002f
113,b9fbae28
117,49fe9070
548,33887998
110,ce4246f5
123,1265a93a
500,fed7cb61
118,f586779e
119,1bf33a9a
102,53cad200
114,6622454d
103,16ceb862
116,1cb49278
109,18b896d6
122,15f3ec41
112,28d596a0
104,f4290206
101,a179d516
115,e97fd090
121,7edfbb8a
124,df10e27c
239,fb614c44
217,53af52f3
228,56f7a928
224,45963054
235,3ea50f67
219,f8fcd2a5
561,132a82f1
518,1598599e
231,ee38d9c5
498,197640fd
221,b827d5b3
236,6b47c5db
225,86695068
218,a67a09fb
229,819aa8e7
238,21166ff4
240,fc027d02
227,1a4ef233
233,c92e1a31
541,1880614f
234,7d2d3329
579,ffec9769
230,4468ec10
216,80c31c97
459,2928dca2
461,9fbbcf39
458,a4ac4b8f
464,5a7301ae
465,9a28eba4
460,b561db50
470,d0f72bf1
563,9b398aea
505,9ae9eaea
504,e7aa9d7c
545,9a71e978
581,6956ff08
473,32f60ed8
626,a4fe8cda
467,aa6f2f2c
383,8f62b6ee
388,21a66f6a
391,ac861941
405,5cdddffa
385,2acd49b9
542,3353737a
386,f7d50789
389,5c2b4f07
395,44781702
400,a29b1131
457,d557d734
398,da7b447d
397,2f7acede
403,d7553721
387,abe66106
584,8d62d31a
543,a58bb1e1
435,4f974391
448,1c7012b8
432,74b2cd7e
431,9328b835
445,79c84d1c
450,82927de4
558,fdf3cb77
443,3626f7d9
441,ba115a40
442,57df7a11
437,ac05f970
587,5a04fd92
576,3e9e06cb
438,c067631c
451,a712ca2b
427,ff527768
439,26f6dca8
436,849c826a
452,9319781b
430,6385ebfb
428,9f4647e9
272,e46012d4
276,b400bde0
270,86dd77d1
271,819b3158
273,5eecec3d
275,892d5bb1
284,ed1e53f3
287,9e1035f8
274,5271c8f1
279,eaeca114
280,119b9a8e
283,51cf8561
288,2bed3eab
268,4d034881
538,42130443
539,dd897ee7
512,02b29014
156,c5b7c315
164,59e6e5bf
162,6d5701f2
157,4806ec67
508,715bf047
566,9f7c837d
150,76dd1480
159,6ca5ec4b
155,1b84dbe1
165,d0042ab9
152,0420d84f
163,9228b07c
149,111c3236
573,e7ee38c3
168,2bd83368
160,099e666f
559,f5b281e7
153,9a104dee
169,3d50bcdb
148,1ecb65be
370,3515d404
375,984a5a64
376,4115ce4e
363,36c2ca73
362,01226327
377,f2bf1b0f
368,97333cf5
369,1900032e
366,07802f7f
382,254147d4
367,6adbc307
365,ab651565
565,11ff3d56
379,5e105217
361,9f472354
523,c3e39f12
524,f1e94cd6
381,caa1a7f0
378,531a4aa8
325,cde3309f
506,c596fcb0
323,f25b010f
513,efb9215a
336,c951a6df
485,989d5705
339,862a1c15
321,3727dd3c
324,2b91cf8e
328,450ab6fc
334,c8aa95da
480,a2b105e0
338,2b16cb1a
497,de112b84
332,758dd7f0
322,71ef519e
335,ae0a7ddf
333,77cf6852
487,c0027d2d
320,b581987a
507,d56543a0
331,3fe6bd8c
329,e58a03c6
602,de31038e
298,d8931174
306,a1d5bd30
313,9e525177
291,7ba6d84e
300,9c94165b
308,f5deef4c
303,8b788c01
296,867239d3
309,d93c2511
315,58eee997
295,eb7822d7
310,a1232f4e
311,c931d9f9
569,527f063d
290,29733c72
495,50dc94ce
305,e5a76dfe
312,a9142dc3
307,2baec6ce
293,03622183
318,5e74d6c8
66,c40b6180
74,35e413f1
62,282f75f3
76,6c203af0
68,4bcf39f6
69,38ceb24a
67,dad4b285
70,4535e4bb
77,f4e433d4
61,b2d31e83
54,99813635
57,8aec0537
597,6a713852
588,ce5143da
78,27c01749
79,ad1f61f3
80,83d074ff
71,08452314
59,fdd85f94
627,4d0eb7d2
574,d01231f0
630,88acf83f
550,c908a1bc
417,9e5708be
422,3ec9195b
413,77bb1522
544,c2731c10
446,f522d7ec
425,1d042188
481,b04ee927
358,e75750a3
409,b98570d1
582,87f7500e
412,18e96f64
530,85f8571a
418,4dc4f138
411,7bb5f40e
407,46ee5234
555,c2dfedeb
410,81d8091f
421,1566e437
600,af341b88
56,e608ed4c
408,fb2dec57
415,8d228291
423,bd8a7d05
426,3c066877
89,495945ef
91,4e9a0555
98,47369df8
96,4b40d9ca
81,15ea812b
97,cc2d7ad5
100,fc15fb84
92,9a9c05db
88,8df7a2fb
87,2691c772
95,96bb8cc2
86,4ab53cdb
85,5a4280b1
83,1ef37668
90,f72293fc
82,1ae30132
55,653ee42d
535,bf3aeb61
519,1fdfd6da
93,0d4ceb32
99,4879f8cb
483,466fb2c5
345,1aa84968
353,debe38a0
351,394854c4
347,17d4507a
344,dbe56a33
509,10b9fa99
360,d0b6129f
346,b63e789d
355,0df2b165
424,f631c17f
357,78b8ac63
356,79bc4c45
349,43439614
262,30e81a88
352,7399c7a8
511,7af88b33
510,ae5019e6
343,e8c9f4e9
359,d9cfca3d
354,312626c1
603,c684d3c9
529,3233eefd
618,a7588cdc
516,2f965a72
191,6bb2c084
562,246d153b
572,c81d773d
484,289601e6
557,7c104bb7
571,e34fc66d
373,803ae100
175,a8748947
184,3925dbd6
493,2b471f99
176,28b40c9c
182,af69e7f0
517,77d7c96f
525,f7750aa0
178,5f1a2f31
190,4047c976
188,6612cd8c
173,321a71a7
180,18b999f4
186,17acc2ed
8,2628fd2b
17,fce2302c
4,d5dd5f1f
24,bc7dc64d
11,f874dd44
16,d79a8c87
9,e61b8aee
6,9dbb75ca
15,e3a5814e
23,17695062
567,529f49ab
18,57e3f0c7
10,aa54ec6f
20,a3b03921
5,839c14e1
14,3935e52e
21,c5bdb6e3
7,3f2d59fe
478,8b9ebd03
3,c0e27d1a
1,16380240
2,b682dcf6
13,dc6f5bdd
19,52611641
22,a53649b7
25,5ea8ef20
26,48a5a5d6
27,972aeb2a
494,67ac5bb8
501,c0617e2b
526,47a34c4f
527,136e7649
547,8fa8f8d2
28,a6de6361
30,fe8e6fa1
32,a8a3d139
34,
35,bdedffac
36,4fdf1fd9
40,
43,c07b7c5c
46,0313a347
47,5d8d7454
48,bfae110f
49,dae8623e
51,04e195ee
52,6f7d826d
496,2389cdc2
53,f2f29dda
58,7314bba4
60,47b7e3af
63,5cec2487
64,dc008610
65,bb5fbd2b
72,ca2bc3df
73,8ea2227a
75,17370b95
503,c666574f
528,28300a16
628,f230bc30
631,a96ba40b
632,4871d0e8
633,2ae8e967
84,74e12f1e
94,bcfb0142
520,6a471ee8
536,6a39bd42
551,6abefdff
583,c73ada83
591,fa38722f
592,4fa62ae4
612,bda82fc2
613,f8e588df
105,45db685d
107,79c0821a
111,e0bc6fdc
232,d2424d1b
490,86e7deaf
593,53b781b9
605,b105919e
126,76eca7e2
135,d7492450
136,41cc19c2
143,eba42d2b
145,2f8d27bc
147,9a526299
522,a62da625
534,600ae8cb
578,f234c188
586,cc70a1d5
641,50e6dc35
151,939bc634
154,ab4b3e35
158,1961b2aa
161,6bd603db
166,fa031b34
167,728e9b2e
170,c1949191
502,cc700722
596,26d3b5be
171,af245161
172,71a08f97
174,a48da055
177,6c679c6d
179,7eb67dad
181,0f7533cd
183,0d85a4e8
185,d368feb8
187,979b811d
189,10efd0e1
192,4e229bf9
585,1f9a3a04
220,d6f88a1d
222,ebd0a048
223,d3ce0e89
226,75a72a99
237,305a3820
193,c0398aca
194,58bc7d18
196,c859705e
199,9f1938ab
205,f13d02a6
207,9a8241af
208,
209,55b4f1d6
212,7d3dc53e
215,2d82641c
492,1fb1c435
532,97d7afbd
533,a2c1d8c2
599,3d46127c
619,6d646ff7
620,4654e5f5
242,f315ca93
245,f76e6b4e
252,7a2e46a8
253,7f3b388c
257,c6dc9ecd
265,
531,77e84962
601,d5dafedb
607,a33ce8e2
266,101da2b5
267,10072610
269,0d267745
277,bd6351cd
278,3bb7b8b4
281,3eb22ec9
282,b66315ae
285,
286,6434f10d
537,548672b4
552,dc7f8a28
556,31c69ef1
595,259fea27
608,3e1550ee
609,091c86e2
622,387e1d35
623,47327321
326,3a949a25
327,6eaed4eb
330,8816329f
337,c5942695
340,c17bfb65
341,5343eb4e
342,603e4f0b
488,e32958b7
606,096d1e60
348,e7434f04
350,96cf7b61
477,636b64cd
580,424595d5
364,4b511457
371,e082af5b
372,b0c71810
374,6d6f09dc
380,d484c261
479,0b33f6ad
590,
598,
624,
625,c35e99d8
634,f4765c97
635,ab7d7882
636,c7170b46
384,89d10e53
390,92e7e919
392,2b622f01
393,63d17038
394,cea4ee8f
396,8b04d6c1
399,6aa3e78b
401,
402,e9971f2d
404,6250083a
406,6c7762c3
482,cb4f24c6
521,88ced02c
564,8b529245
414,5540c9dc
416,5e508d0d
419,d6192210
420,76b5cbbd
499,9f30e7ed
621,45787ffa
639,165cf989
429,07666c20
433,ba3ca78f
434,9c318325
440,9f1893b9
444,a36d4785
447,2b1c4abd
449,6613c819
637,95827107
638,dcba03f6
453,da8b19e2
454,f5a00fa4
455,79b0d6a0
456,0bad4516
462,e28868f3
463,da23d58d
466,44bfb6c5
469,7fcc71d8
471,b937e490
472,a89e7b29
474,7ba2eaa9
475,41ff002d
476,bf9c0749
515,3b029691
546,d04b94db
553,012c38ec
610,25b82f9a
611,01ba3996
614,cc3b8e78
615,ae0e6ba7
616,a7cf1541
617,43f9b4ba
629,17be8dc3
289,1e26e376
292,b6964eb6
294,e0991c04
297,def899bd
299,b853e0ad
301,810e3c74
302,507c7bdf
304,6639e500
314,d9565625
316,2696b6a9
317,4e015693
319,91748070
568,e73c9bb2
575,ac7e7b1c
604,9dab6e3b
640,
